ac_number,candidate,party,votes,turnout,party_std,constituency,district,region,reserved
7,S. BENJAMIN MOSES,IND,207,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,PONMUTHU RAMESH,IND,202,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,K. VENKATESAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,171,74.9,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,N.A. MANI,IND,157,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,V. KAMALA KANNAN,IND,119,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,K. GANAPATHY,IND,99,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,R. YUVARAJ,IND,84,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,VIGNESH NANDAGOPAL,IND,83,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,SARAVANAN KUMAR,IND,78,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,MUTHURAMAN. S,Anna MGR Dravida Makkal Kalgam,71,74.9,Anna MGR Dravida Makkal Kalgam,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,D. ANANDAN,IND,67,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,M. BALASUBRAMANIAN,IND,67,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
7,M. JAMES,IND,34,74.9,IND,Maduravoyal,Tiruvallur,Chennai Metro,GEN
8,BALAMURUGAN.G,TVK,133339,74.21,TVK,Ambattur,Tiruvallur,Chennai Metro,GEN
8,DR A.P. POORNIMA,DMK,74558,74.21,DMK,Ambattur,Tiruvallur,Chennai Metro,GEN
8,K.N. SEKAR,PMK,35997,74.21,PMK,Ambattur,Tiruvallur,Chennai Metro,GEN
8,SILAMBARASAN,NTK,11088,74.21,NTK,Ambattur,Tiruvallur,Chennai Metro,GEN
8,NOTA,NOTA,1490,74.21,NOTA,Ambattur,Tiruvallur,Chennai Metro,GEN
8,A.KALYANASUNDARAM,Nationalist Janshakti Party,588,74.21,Nationalist Janshakti Party,Ambattur,Tiruvallur,Chennai Metro,GEN
8,R.BALAMURUGAN,IND,493,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,DR. J.SAILAS,Bahujan Samaj Party,443,74.21,BSP,Ambattur,Tiruvallur,Chennai Metro,GEN
8,DR. S.PRAVEEN,IND,308,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,V. RAMKUMAR,India Suyarajya Party,224,74.21,India Suyarajya Party,Ambattur,Tiruvallur,Chennai Metro,GEN
8,S. MADHAVAN,IND,179,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,M.S. ARUMUGAM,IND,135,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,RAJKUMAR,Tamizhaga Vaazhvurimai Katchi,127,74.21,Tamizhaga Vaazhvurimai Katchi,Ambattur,Tiruvallur,Chennai Metro,GEN
8,K. SEKAR,IND,127,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,S. JANARTHANAN,IND,126,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,G.P. SEKAR,IND,103,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,PALANI,IND,103,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,D.K.MESHACK KIRUBAKARAN,IND,102,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,JOTHI.M,IND,89,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,VINAYAGAMOORTHY.R,IND,83,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,P. ARUMUGAM,IND,77,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,G. SAMPATH,IND,72,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
8,D. PUSHPA,IND,68,74.21,IND,Ambattur,Tiruvallur,Chennai Metro,GEN
