ac_number,constituency,party_2021,votes_2021,region,reserved,turnout_2021,party_2026,votes_2026,turnout_2026,is_flip
94,Namakkal,DMK,106494,Central,GEN,78.57,TVK,79744,91.75,True
95,Paramathi-Velur,AIADMK,86034,Central,GEN,81.14,AIADMK,61349,92.2,False
96,Tiruchengode,DMK,81688,Central,GEN,78.71,TVK,79500,90.87,True
97,Kumarapalayam,AIADMK,100800,Central,GEN,78.85,TVK,81179,88.28,True
98,Erode (East),INC,67300,Kongu,GEN,66.24,TVK,69747,79.01,True
99,Erode (West),DMK,100757,Kongu,GEN,69.36,TVK,96836,81.21,True
100,Modakurichi,BJP,78125,Kongu,GEN,75.26,TVK,60715,84.7,True
101,Dharapuram,DMK,89986,Kongu,SC,74.15,AIADMK,81100,90.27,True
102,Kangayam,DMK,94197,Kongu,GEN,77.19,AIADMK,71122,91.75,True
103,Perundurai,AIADMK,85125,Kongu,GEN,82.6,AIADMK,70302,92.79,False
104,Bhavani,AIADMK,100915,Kongu,GEN,83.5,AIADMK,75577,94.93,False
105,Anthiyur,DMK,79096,Kongu,GEN,79.69,AIADMK,60042,91.38,True
106,Gobichettipalayam,AIADMK,108608,Kongu,GEN,82.52,TVK,82612,97.83,True
107,Bhavanisagar,AIADMK,99181,Kongu,SC,77.37,TVK,72391,90.17,True
108,Udhagamandalam,INC,65530,Kongu,GEN,67.82,BJP,48488,78.34,True
109,Gudalur,AIADMK,64496,Kongu,SC,72.15,DMK,65590,83.93,True
110,Coonoor,DMK,61820,Kongu,GEN,69.79,DMK,50470,82.34,False
111,Mettupalayam,AIADMK,105231,Kongu,GEN,75.14,TVK,75664,85.5,True
112,Avanashi,AIADMK,117284,Kongu,SC,75.18,TVK,84209,89.46,True
113,Tiruppur (North),AIADMK,113384,Kongu,GEN,62.44,TVK,131401,74.28,True
114,Tiruppur (South),DMK,75535,Kongu,GEN,62.74,TVK,73793,74.77,True
115,Palladam,AIADMK,126903,Kongu,GEN,66.7,TVK,121297,79.69,True
116,Sulur,AIADMK,118968,Kongu,GEN,75.57,TVK,90531,85.39,True
117,Kavundampalayam,AIADMK,135669,Kongu,GEN,66.13,TVK,146466,75.45,True
118,Coimbatore North,AIADMK,81454,Kongu,GEN,59.21,TVK,92500,71.44,True
119,Thondamuthur,AIADMK,124225,Kongu,GEN,70.22,AIADMK,93316,82.27,False
120,Coimbatore South,BJP,53209,Kongu,GEN,60.69,DMK,59724,72.97,True
121,Singanallur,AIADMK,81244,Kongu,GEN,61.73,TVK,84163,73.47,True
122,Kinathukadavu,AIADMK,101537,Kongu,GEN,70.64,TVK,99950,83.43,True
123,Pollachi,AIADMK,80567,Kongu,GEN,77.34,DMK,62013,87.77,True
124,Valparai,AIADMK,71672,Kongu,SC,70.04,DMK,54671,82.53,True
125,Udumalpet,AIADMK,96893,Kongu,GEN,71.31,DMK,68549,82.32,True
126,Madathukulam,AIADMK,84313,Kongu,GEN,72.45,DMK,70458,83.52,True
127,Palani,DMK,108566,South,GEN,73.33,AIADMK,66986,84.53,True
128,Oddanchatram,DMK,109970,South,GEN,83.08,DMK,93099,94.54,False
129,Athoor,DMK,165809,South,GEN,77.96,DMK,106240,87.58,False
130,Nilakottai,AIADMK,91461,South,SC,75.07,TVK,68580,86.49,True
131,Natham,AIADMK,107762,South,GEN,78.95,AIADMK,85708,91.69,False
132,Dindigul,AIADMK,90595,South,GEN,69.27,DMK,74489,80.51,True
133,Vedasandur,DMK,106481,South,GEN,80.16,DMK,84948,90.68,False
134,Aravakurichi,DMK,93369,Kongu,GEN,81.92,DMK,70827,93.64,False
135,Karur,DMK,101757,Kongu,GEN,83.57,AIADMK,71542,93.73,True
136,Krishnarayapuram,DMK,96540,Kongu,SC,84.17,TVK,62378,96.0,True
137,Kulithalai,DMK,100829,Kongu,GEN,86.16,DMK,68138,98.0,False
138,Manapparai,DMK,98077,Delta,GEN,76.02,TVK,83041,89.34,True
139,Srirangam,DMK,113904,Delta,GEN,76.15,TVK,103235,90.68,True
140,Tiruchirapalli (West),DMK,118133,Delta,GEN,67.01,DMK,88235,78.37,False
141,Tiruchirapalli (East),DMK,94302,Delta,GEN,66.87,TVK,91381,79.0,True
142,Thiruverambur,DMK,105424,Delta,GEN,66.59,TVK,89837,78.84,True
143,Lalgudi,DMK,84914,Delta,GEN,79.23,AIADMK,60795,90.04,True
144,Manachanallur,DMK,116334,Delta,GEN,79.63,DMK,81447,89.74,False
145,Musiri,DMK,90624,Delta,GEN,75.98,TVK,71281,86.8,True
146,Thuraiyur,DMK,87786,Delta,SC,76.63,TVK,66263,92.28,True
147,Perambalur,DMK,122090,Central,SC,78.2,TVK,90882,92.35,True
148,Kunnam,DMK,103922,Central,GEN,80.05,DMK,87237,90.48,False
149,Ariyalur,DMK,103975,Central,GEN,84.54,AIADMK,95219,96.75,True
150,Jayankondam,DMK,99529,Central,GEN,80.38,PMK,88992,92.09,True
151,Tittakudi,DMK,83726,Central,SC,76.3,DMK,63106,87.4,False
152,Vriddhachalam,INC,77064,Central,GEN,77.02,DMDK,69351,88.96,True
153,Neyveli,DMK,75177,Central,GEN,74.25,AIADMK,63731,86.46,True
154,Panruti,DMK,93801,Central,GEN,79.6,AIADMK,78398,95.13,True
155,Cuddalore,DMK,84563,Central,GEN,74.77,TVK,70856,87.77,True
156,Kurinjipadi,DMK,101456,Central,GEN,82.06,DMK,76695,95.0,False
157,Bhuvanagiri,AIADMK,96453,Central,GEN,78.57,AIADMK,75707,91.2,False
158,Chidambaram,AIADMK,91961,Central,GEN,71.93,DMK,69739,86.08,True
159,Kattumannarkoil,VCK,86056,Central,SC,75.87,VCK,85179,87.02,False
160,Sirkali,DMK,94057,Delta,SC,74.91,DMK,71449,86.22,False
161,Mayiladuthurai,INC,73642,Delta,GEN,70.14,INC,68011,81.94,False
162,Poompuhar,DMK,96102,Delta,GEN,75.19,DMK,81096,88.94,False
163,Nagapattinam,VCK,66281,Delta,GEN,71.97,DMK,56305,83.63,True
164,Kilvelur,CPIM,67988,Delta,SC,79.43,CPIM,56108,89.43,False
165,Vedaranyam,AIADMK,78719,Delta,GEN,80.6,AIADMK,59172,93.27,False
166,Thiruthuraipundi,CPI,97092,Delta,SC,76.74,CPI,74062,90.11,False
167,Mannargudi,DMK,87172,Delta,GEN,74.34,AMMK,68416,84.46,True
168,Thiruvarur,DMK,108906,Delta,GEN,73.25,DMK,93408,86.1,False
169,Nannilam,AIADMK,103637,Delta,GEN,81.08,AIADMK,103462,94.12,False
170,Thiruvidamarudur,DMK,95763,Delta,SC,75.76,DMK,79951,87.87,False
171,Kumbakonam,DMK,96057,Delta,GEN,71.45,TVK,78650,84.7,True
172,Papanasam,DMK,86567,Delta,GEN,74.76,IUML,69284,88.55,True
173,Thiruvaiyaru,DMK,103210,Delta,GEN,78.11,DMK,80425,90.58,False
174,Thanjavur,DMK,103772,Delta,GEN,65.72,TVK,87705,79.2,True
175,Orathanad,AIADMK,90063,Delta,GEN,78.29,DMK,86759,89.4,True
176,Pattukkottai,DMK,79065,Delta,GEN,71.66,DMK,65963,81.93,False
177,Peravurani,DMK,89130,Delta,GEN,77.02,DMK,60919,91.32,False
178,Gandharvakottai,CPIM,69710,Delta,SC,74.45,TVK,58795,85.67,True
179,Viralimalai,AIADMK,102179,Delta,GEN,85.43,AIADMK,105773,97.39,False
180,Pudukkottai,DMK,85802,Delta,GEN,72.94,DMK,66825,83.68,False
181,Thirumayam,DMK,71349,Delta,GEN,75.85,DMK,58201,86.39,False
